,author,date,section,word_count,abstract,headline,source
610,"Scicchitano, Eric","Sep 9, 2011",News,548,Coal Township has already placed Dumpsters in its hardest hit sections - Ranshaw and Tharptown - and will do so again today for people to dispose of flood-damaged possessions. Shamokin will do the same beginning at 7:15 a.m. today. Dumpsters will be placed at Chestnut and Rock streets and Spruce and Rock streets.,FEMA Aid Available; Residents Urged To Document Everything,The News - Item
611,"Legere, laura","Nov 1, 2011",News,438,"In October, Gov. Tom Corbett was one of 11 governors who signed a letter to President Barack Obama urging him to withdraw one of the rules, arguing it ""may well risk millions of jobs and increase the cost of power"" all while producing ""only marginal benefits from reductions in mercury emissions.""",Federal Air Pollution Rules Touted,The Times - Tribune
612,,"Oct 13, 2012",Opinion,289,"In a [Romney] administration Big Bird will go, but Donald Trump, the Koch brothers and other multi- millionaires like Mr. Romney himself will get tax breaks. By his own words there is no room in a Mitt Romney federal budget for the pennies that provides Big Bird to the preschoolers of America. In the same broadcasted debate Mr. Romney asks those at the other end of the age spectrum, our senior citizens, to trust him to do the right thing by them with the billions of dollars for their Medicare and their Social Security.",Tax Breaks For Millionaires But Not One Cent For Big Bird,Citizens' Voice
613,,"Oct 8, 2012",Opinion,759,"Because IPAB effectively makes law, thereby traducing the separation of powers, and entrenches IPAB in a manner that derogates the powers of future Congresses, it has been well described by a Cato Institute study as ""the most anti-constitutional measure ever to pass Congress."" But unless and until the Supreme Court - an unreliable guardian - overturns it, IPAB is a harbinger of the ""shock and awe statism"" (Indiana Gov. Mitch Daniels' phrase) that is liberalism's prescription for curing the problems supposedly caused by insufficient statism.",Inner Wonk Preserves Race,The Times - Tribune
614,Anonymous,"Sep 21, 2011",News,741,"""I am pleased to support Martin Pane as our next U.S. marshal for the Middle District of Pennsylvania. He has a long record of public service with the U.S. Marshals and is well-qualified for this position,"" Sen. Toomey said.",Regional Briefs 9/22/2011,The Times - Tribune
615,,"Oct 30, 2012",News,93,"The campaign never announced where Mr. [Joe Biden] planned to appear, but Lackawanna County Democratic Party Chairman Harry McGrath said the party's annual dinner at St.",Biden Visit Canceled,The Times - Tribune
616,,"Aug 23, 2012",Opinion,1187,Here are some real lies for Mr. Eglesia to consider. A pro-Obama super PAC ran a TV ad featuring a worker at former Bain Capital plant blaming Mitt [Romney] for his wife's cancer death because they lost their insurance when Bain closed the plant.,Letters To The Editor 8/23/2012,The Times - Tribune
617,Anonymous,"Jul 12, 2011",Opinion,330,I've just been down to the recycling bins and it's a mess down there. I want to know why our borough manager installed a camera if they're not going to use it. Use the camera. Start arresting the people that are throwing the garbage.,Thunder/Enlightning,Republican & Herald
618,,"Nov 9, 2011",News,607,"Today, our nation comes together to honor our veterans and commemorate the legacy of profound service and sacrifice they have upheld in pursuit of a more perfect Union. Through their steadfast defense of America's ideals, our service members have ensured our country still stands strong, our founding principles still shine, and nations around the world know the blessings of freedom. As we offer our sincere appreciation and respect to our veterans, to their families, to those who are still in harm's way, and to those we have laid to rest, let us rededicate ourselves to serving them as well as they have served the United States of America.",Veterans Day 2011: President's Proclamation,The News - Item
619,,"Sep 30, 2012",Opinion,782,"Then there's marijuana. Obama's heavy high school pot smoking is detailed in David Maraniss new biography, ""Barack Obama: The Story,"" and raises questions about the accuracy of Obama's version and supplies fresh revelations. Legalizing marijuana and taxing it to the hilt would enable Americans to toke their way back to budget solvency. Perhaps, as suggested by pundit Chuck Stroup, this could very well be Obama's ""second-term de-stimulus plan.""",Welcome Barack Carter,The News - Item
620,"Allabaugh, Denise","May 17, 2011",News,362,"""We continue to look for the energy and support necessary to make this a viable effort,"" Mr. [Rick Santorum] said. ""I'm not interested in doing this if we don't have a real good chance of taking our message and being successful with it. We've gotten some great response from people, and I've been encouraged by what we're seeing. We're hoping we could get some financial support.""",Santorum Visits Wilkes-Barre's Pro-Life Center,The Times - Tribune
621,"Sullivan, Katie","Oct 9, 2012",News,428,"His son, Eric Zielinski, a freshman at the university, was also interested in the variety of responses and becoming a part of the political discussion. ""I was intrigued by the chance to see a real live panel,"" he said. ""You don't see that a lot.""","Panel Discusses Issues, Expectations For Election",The Times - Tribune
622,"Wheary, Rob","Aug 19, 2012",News,819,"""We've bought a little piece of property up at Lake Wynonah,"" he said. ""I'm ready to come back to Schuylkill County.""",North Schuylkill Grad Preps For Arrivals Of Air Force One,The News - Item
623,"McAuliffe, Josh","Nov 6, 2012",News,704,"""If you want to have a say in what's going on in the country, I don't believe in sitting at home and complaining,"" Mrs. Mehne said. ""It's great when people bring their children, because then they see it's important to vote.""",Cast Of Regulars Including 83-year-old Poll Worker And Loveable Retriever Greet Voters On Election Day,The Times - Tribune
624,Anonymous,"Jan 22, 2011",Opinion,763,"As [Michele Resuta] somberly pointed out ""one-third of my children's peers have never been born."" But the couple remains optimistic with Michele emphasizing, ""It's important our children witness. They are our future leaders. If you plant seeds on good soil, good trees will flourish. Also, when you see 400,000 people march and half are young - it's promising."" [Steve] added, ""Everyone united to defend the most innocent of all of us, the babies in the womb, is a truly moving experience that words cannot describe. You see America at its best - defending life, liberty and justice for all.""",The March Continues,The News - Item
625,Anonymous,"Aug 28, 2011",Opinion,346,I saw an add in today's News-Item that it is the fifth anniversary for Dr. J.C. Owens and his staff who has the dental office on Independence Street and he is my dentist and I absolutely love everybody in his office including him. They are so nice and friendly and I just wanted to say congratulations and I am glad they are in downtown Shamokin.,Sound Off 648-2340,The News - Item
626,"Krawczeniuk, Borys","Jul 21, 2011",News,434,"""We don't know exactly what it will be, but it's likely to be much closer"" to what Senate leaders Mitch McConnell, R-Ky., and Sen. Harry Reid, D-Nev., are proposing. They propose having the president ask for three debt limit hikes totaling $2.5 trillion by the end of next year and recommend spending cuts greater than that. ""It will at least give the American people and markets ... the confidence that we pay our bills,"" [Bob Casey] said. ""But what that will also mean is we've got a heck of a lot of work after that to complete work on deficit reduction.""",GOP Reps Blast Obama On Debt Limit,Citizens' Voice
627,"KRAWCZENIUK, BORYS","Oct 2, 2012",News,350,Stilp has challenged Barletta to nine debates - one in each county of the 11th district as it will be constituted starting in January. Stilp said Friday each county deserves a debate because the district is different because of redistricting.,Congressional Candidates Plan Broadcasted Debates,Standard - Speaker
628,Anonymous,"Jul 22, 2011",News,186,"Most Social Security services do not require a visit to an office. For example, anyone wishing to apply for benefits, sign up for direct deposit, replace a Medicare card, obtain a proof of income letter or provide information about a change of address or telephone number may do sat at www.socialsecurity.gov or by calling 1-800-772-1213.",Wilkes-Barre Social Security Office Reduces Hours,Citizens' Voice
629,,"Jan 26, 2012",Sports,944,"""Joe didn't just recruit the Michael Robinsons or the Mautis or the Blackledges,"" [Jeff Bast] said. ""He recruited the Ryans, the Joshes, the Laurens and Nicoles. Enter your name here. He recruited all of us.""",A Final Good-bye To JoePa,Citizens' Voice
630,"Brown, Rebekah","Jan 24, 2012",News,299,"Although the Abington Heights seventh-grader will not be in the chambers, he will watch the procession along with his chaperones, U.S. Rep. Tom Marino, R-10, Lycoming Twp., aide Dave Webber and his uncle, Chris Stone. Thomas said the congressman's aide, a family friend, realized Thomas' interest in government after helping him with a school paper about the three branches of government. Mr. Webber then invited Thomas to join him for the trip.",Clarks Summit Boy To Attend State Of The Union Address,The Times - Tribune
631,"KRAWCZENIUK, BORYS","Oct 27, 2012",News,1417,"""We just barely opened the door on that the last couple of years,"" Casey said. ""I guess I don't equate a series of good steps with a radical approach over here (in Smith's corner). I don't think they're equivalents.""","Smith, Casey Differ Sharply On Social Security, Medicare",Standard - Speaker
632,Anonymous,"Aug 4, 2011",Opinion,301,"In late 2000, Republican George W. Bush was elected along with a Republican controlled Congress. By 2007, with the reversal of [Bill Clinton]'s and Democratic policies, our country was brought to its knees. Republican policies included special tax breaks for millionaires and billionaires and deregulation of Wall Street, banks and the housing market, which resulted in the worst economic downturn since the Great Depression. The tax breaks created few jobs and added $3.5 trillion to the national debt, according to the Congressional Budget Office.",Republicans Risk Catastrophe For Ideology,The News - Item
633,Anonymous,"Mar 19, 2011",Opinion,903,"Good presidents do what is best for the country. Great presidents, however, do not only what is best for the people, but are also willing to speak to the courage of their beliefs, of their principles, even if it may be unpopular among many of their constituencies. They don't put their ""finger in the air"" to judge what's popular. Republican Theodore Roosevelt and Democrats Franklin Delano Roosevelt and ""Give 'em Hell, [Harry Reid]"" Truman were among the great presidents. If Barack Obama doesn't soon speak out on behalf of the working class, he may find his legacy mired in the struggle to become even a good president.",President Obama: MIA,The News - Item
634,"KRAWCZENIUK, BORYS","Mar 27, 2011",News,1085,"""I think what they'll see is I put the state first and focused on Pennsylvania priorities and issues like jobs and helping our kids and fight for older citizens,"" he said. ""They're going to look at my record and make decisions on how I've done.""",Casey Could Be GOP Target Next Year,The News - Item
635,"KRAWCZENIUK, BORYS","Apr 28, 2012",News,1739,"""Chris and I were kind of blown away by it,"" Mrs. [Kathleen Granahan Kane] said. ""We went home and we talked about it for weeks because there's so much to consider and I'm a mom and I'm a wife and it's not just whether I could win. It's whether we could afford it; it's whether the house would implode while I'm gone, whether the kids would be OK, whether Chris would be OK, whether Chris could run his business and be able to stay at home and help out.""",Raising Kane: West Scranton Native Marching Toward Harrisburg,The Times - Tribune
636,"Krawczeniuk, Borys","Nov 28, 2011",News,654,"""It kept us afloat,"" she said. ""You don't know what might have happened if we didn't get the stimulus. We might be in a deep depression now. a?[broken bar] I think he's an incredible man, I really do.""","In Ticket Line, Supporters Of Obama Rave About President",Citizens' Voice
637,"Wellock, Bill","Aug 31, 2012",News,308,"""Jobs, jobs, jobs,"" [Aaron Kaufer] said. ""We're talking about job creation, jobs, and the trade deficit.""",Local RNC Attendees Describe Experiences,Citizens' Voice
638,The News-Item staff,"Jul 29, 2011",News,196,"[Tom Marino] praised the decision to include the balanced budget amendment in the legislation. As a condition for President Barack Obama to raise the debt ceiling early next year, the legislation mandates a balanced budget amendment be passed by Congress and sent to the states for ratification.",Rep. Marino Voted Yes,The News - Item
639,,"Jun 21, 2012",Opinion,435,"People of Shamokin take a good look at that picture on the front page of Wednesday's paper and you will see Griffiths, Getchey and Beck. The words underneath that picture don't tell the true story because they voted to throw the cafeteria workers under the bus. They voted to let Nutrition Inc. take over.",Sound Off 6/22/12,The News - Item
640,"Heintzelman, Andy","Aug 31, 2012",News,455,"A key point Gordner took from Rice's address is [Barack Obama]'s failure to negotiate new trade agreements during his time in office. Meanwhile, China has negotiated 15 and is in the process of negotiating another 18, Gordner said, citing Rice's speech.","Gordner Says Speakers Are 'impressive,' 'mesmerizing'",The News - Item
641,"KRAWCZENIUK, BORYS","Aug 6, 2011",News,2199,"""We're doing what we were sent there to do, and we're not afraid to tackle any of the issues,"" Mr. Barletta said. ""We're not ducking anything. We've been doing our job and unfortunately we don't have a willing partner in the Senate that's willing to do theirs.""","Marino, Barletta Voting Record",The Times - Tribune
642,,"Aug 23, 2012",Opinion,247,"The outrageous creative ""fact"" generation and conspiracy theories that were made up against [Obama] were for the additional political purpose of keeping everyone from focusing on what the conservatives are actually doing.",The Right Stirs Hatred Of Obama To Advance Its Political Agenda,Citizens' Voice
643,,"Feb 14, 2012",Opinion,545,I am just wondering when the City of Shamokin is going to get off their butts and guarantee that bond for the Shamokin-Coal Township Joint Sewer Authority before it is too late and the sewer authority has to jack the rates up for the people here in Shamokin. Frog's take: See today's story for an update.,Sound Off 648-2340,The News - Item
644,,"Dec 2, 2011",Opinion,373,"Amid the fog of that controversy, however, it's clear that neither Boeing nor the International Association of Machinists has lost sight of the global aircraft market.",Hope Soars On Boeing Deal,The Daily Review
645,,"Apr 21, 2012",Opinion,585,"After seeing the spectacle of the protestors tonight, I think there are quite a few people who could be cut because they don't seem to understand anything. You drag teachers, administrators and children to a protest. and then you complain about people paying $1,000 for a dinner. That is private citizens' money. They can do what they want. If I want to pay $1,000 for a dinner, I can do so. It is my money. Maybe what we need to do is cut those teachers and administrators' salaries, then you will save some money.",Sound Off 04-22-12,The News - Item
646,"Krawczeniuk, Borys","Aug 22, 2012",News,290,"""There is no gray area in rape,"" he said. ""In the eyes of the law, the line is rightly drawn at 'no' regardless of the situation.""",Marino Rips Akin Over Rape Comments,Citizens' Voice
647,"KRAWCZENIUK, BORYS","Sep 4, 2012",News,632,"Attorney Todd J. O'Malley, 66, of Scranton, a delegate or alternate delegate several times before, said the conventions ""never get old"" despite their cut-and-dry nature. He reconnects with old Democratic friends and lawyers from across the country, and he's hoping to meet delegates who want the United States out of Afghanistan earlier than the planned 2014.",Local Democrats Ready For Convention,Standard - Speaker
648,,"May 11, 2012",Opinion,561,"I see if you don't go with [Clausi] and [Bridy], you lose your job, even if it is the right thing to do. I feel so bad for [Rick Shoch]. Is there a way people can get rid of Clausi and Bridy? They are going to bring Northumberland County lower than it already is. Frog's take: Shoch is still a commissioner, he just isn't chairman anymore.",Sound Off 05-12-12,The News - Item
649,,"Oct 7, 2012",News,122,"Dr. Biden is scheduled to arrive at the campaign's Scranton field office, 216 Wyoming Ave., at 1:15 p.m., according to campaign officials. She is slated to make another stop at the campaign's Hazleton field office at 3:15 p.m.","Jill Biden To Visit Scranton, Hazleton Monday",The Times - Tribune
650,Anonymous,"Feb 20, 2011",News,442,The continuing resolution crafted by the House Appropriations Committee represents the largest reduction in non-security discretionary spending in the nation's history and will save American taxpayers more than $100 billion compared to President Obama's fiscal year 2011 request.,Rep. Marino Hails Budget Cuts,The Daily Review
651,"Krawczeniuk, Borys","Oct 1, 2011",News,1246,"""Sen. Casey has a strong record of putting the interests of Pennsylvania first including fighting unfair trade practices that send Pennsylvania jobs overseas and standing up for working families,"" [April Mellody] said in an email. ""He will be well prepared to make his case to Pennsylvanians but now he is focused on continuing to work to create jobs and secure assistance for those who have been devastated by flooding.""",Casey Now A Popular GOP Target,Citizens' Voice
652,,"Mar 4, 2012",Opinion,423,"Like a recent caller, I, too, hope to see [Obama] win again. But as for him being a liberal, that's a joke. He's given in to the Republicans on almost everything, and his policies put him just to the right of Ronald Reagan. Claiming Obama's liberal gives the ""righties"" an excuse when they really hate him because he's a black Democrat. Hopefully, in his second term, he'll find the courage to stand up to conservatives and be the strong progressive leader we really want and need.",Sound Off 03-05-12,The News - Item
653,Anonymous,"Jan 30, 2011",News,317,"WASHINGTON - The State Department is prepared to evacuate thousands of U.S. citizens from Egypt on chartered planes, but is relying largely on friends and families in the U.S. to relay that information to stranded Americans. Assistant Secretary of State Janice Jacobs told reporters Sunday that she expects it will take several flights over the coming days to handle the number of Americans who want to leave Egypt.",Egyptian Uprising,The Times - Tribune
654,"Lockwood, Jim","Mar 20, 2012",News,406,"On Saturday, Alasdair McDonnell, the leader of Northern Ireland's Social Democratic and Labour Party, was principal speaker at the 107th dinner of the Friendly Sons of St. Patrick of Lackawanna County at Genetti Manor in Dickson City. Remarking on Ireland's close ties to America, Mr. McDonnell noted the role of Irish immigrants in coal mining in the region and called Scranton ""the most Irish of cities in Pennsylvania, the most Irish of states.""",Scranton Mayor To Visit White House Tonight,The Times - Tribune
655,"Legere, Laura","Jun 27, 2012",News,564,"""I've got a small, yellow sticky that I look at every time I go onto the bench and it says, 'Remember that you' - meaning me - 'are the public servant.' """,Judiciary Committee Hears From Two Pennsylvania Nominees For Federal Bench,The Times - Tribune
656,Anonymous,"Jul 18, 2011",Opinion,1008,"They don't want us to have health care, Medicare or Medicaid, so why should we pay for their insurance? Most of them are very wealthy and can afford to buy their own. They always start cutting from the bottom and never ever from the top. It's about time they pay their share and make it fair for all.",Letters To The Editor - 7/19/2011,The Times - Tribune
657,"Dino, Jim","Jun 14, 2012",News,182,"""The region is critical to the election. It's important (Romney) come here and listen to what people have to say. Congressman Barletta looks forward to participating in that discussion,"" Stange said.",Details Emerge On Romney's Weatherly Visit,Citizens' Voice
658,"KRAWCZENIUK, BORYS","Nov 2, 2011",News,829,"""My surprise was that you've got (79) percent of the people saying it doesn't matter,"" he said. ""During the course of the campaign, that will get vetted and it will be less of a factor than it is now.""","Obama Leads GOP Contenders Now In Pa., But Faces Big Trouble Next Year",The Times - Tribune
659,Anonymous,"Mar 15, 2011",Opinion,778,"[Obama] and Gaddafi are a mismatch. The president is a thinker; Gaddafi is a killer. Unless Obama and the West do something, there's a bloodbath coming. Just ask the Cohens. Gaddafi killed their daughter.",Thinker Must Act To Halt Killer,The Times - Tribune
660,,"Mar 2, 2012",Opinion,1018,"If Mr. [Romney] hasn't heard about President [Barack Obama]'s efforts to create jobs, then he probably doesn't know that Republicans in the Senate and House won't even discuss the AJA.",Letters To The Editor 3/3/2012,The Times - Tribune
661,"KRAWCZENIUK, BORYS","Aug 02, 2011",News,685,"The poll did not attempt to determine why Mr. [Barack Obama]'s job approval and re-elect ratings are down from 48 percent in a June poll, but the poll was done as the economic recovery continued to crawl along and at the height of the fractious debate over the nation's debt limit. Voters, however, believe Mr. Obama acted more responsibly in the debt-limit debate than congressional Republicans by a 44 to 37 percent margin.",Poll: Majority Of Voters Disapprove Of Obama,The Times - Tribune
662,"KRAWCZENIUK, BORYS","Oct 18, 2011",News,875,A Franklin & Marshall College poll around the same time showed Mr. Obama's job approval at 34 percent and Mr. Casey's at 32 percent. His potential Republican challengers never let Mr. Casey forget of his allegiance to Mr. Obama.,"With Election Looming, Casey Tries To Separate From President",The Times - Tribune
663,,"Nov 1, 2012",Opinion,376,"In giving freedom to the unborn, we preserve the freedom of us all and the existence of America, the last best hope of the earth.",Republican Party Is Still Party Of Freedom,Standard - Speaker
664,Anonymous,"May 19, 2011",News,255,"Obama also rejected a push by the Palestinians for U.N. recognition of a state in the West Bank, Gaza and East Jerusalem this fall. ""Symbolic actions to isolate Israel at the United Nations in September won't create an independent state,"" Obama said.",Obama Tells Israel: Go Back To 1967 Borders,The Times - Tribune
665,"KRAWCZENIUK, BORYS","Nov 25, 2011",News,232,"Mrs. Clinton won the Pennsylvania primary, easily defeating Mr. [Barack Obama] statewide and clobbering him by a 3-to-1 margin in Lackawanna County. Mr. Obama won the presidency, but has not been back to the city itself since the primary. In August 2009, former President Bill Clinton rallied Democrats behind Senate candidate Joe Sestak, but Mr. Sestak lost the election to Republican Pat Toomey.",Obama Headed For Scranton High,The Times - Tribune
666,"Iorfino, Michael","Aug 9, 2012",News,616,"""No one knows what is going to happen, but Scott Lilly's proposal is absolutely a possibility,"" said Mr. Hauptli, referring to the author of the CAS study. ""We will know a lot more in a month when all the agencies, including the FAA, send in the proposal of how they would deal with a sequester.""",Scranton/Wilkes-Barre Airport Director Says He Isn't Worried About Federal Cuts,The Times - Tribune
667,,"Jan 22, 2012",Opinion,1018,"Had he lived beyond the miffed cross-examination of ex-wife Frieda, the doc likely would have produced television commercials, complete with images of healthy people indulging ""ambrosia of the gods"" followed by usage and effect warnings - ""strange dreams, suicidal thoughts, orgasms"" - immediately call your ""self-styled nature doctor!""",Letters To The Editor - 1/23/2012,The Times - Tribune
668,"KRAWCZENIUK, BORYS","Oct 17, 2011",News,757,"""Sen. Casey has voted (in) lockstep with President Obama on all of his failed polices. Calling to split up a bill filled with more of the same isn't independence, it's semantics,"" said Ray Zaborney, a spokesman for candidate Tim Burns.","With Election Looming, Sen. Casey Tries To Distance Himself From Obama",Republican & Herald
669,,"Oct 27, 2012",Opinion,436,"Everybody rants and raves about Mitt Romney being so generous and giving $4 million to charity. That's a government subsidy. There's your numbers; there's your facts. Do you want to trust his crooked books? Let's hope he amends his taxes this year and not be elected president. Then he can change his tax form to his deductions, and he'll be paying about a 10 percent rate. If you want to vote for that crap, go right ahead.","Thunder/Enlightning, Oct. 27, 2012",Republican & Herald
670,Anonymous,"Jan 10, 2011",Opinion,1104,"Videos associated with the shooter show an American flag being burned. A conservative judge was killed. The shooter listed the Communist Manifesto as one of his favorite books on Myspace. And, a Phoenix newspaper reported classmates described the shooter as a ""left-wing pothead."" These facts could easily be exploited to skew the picture toward ""left-wing extremism.""",Letters To The Editor - 1/11/11,The Times - Tribune
671,"KRAWCZENIUK, BORYS; LAURA LEGERE STAFF WRITER","Nov 6, 2012",News,1409,"""Barack Obama, he is breaking the law when he supports homosexual marriage - the Lord's law,"" he said. ""We cannot follow the leader if he is wrong.""","Director Of Elections: Lines Long, Turnout Heavy",The Times - Tribune
672,,"Oct 8, 2012",News,204,"""This is about people's lives,"" Biden said. ""Even if my husband was not on the ticket, I would still be working to support this campaign.""",VP's Wife Rallies Crowd At Hazleton Stop,Standard - Speaker
673,,"Oct 22, 2012",Opinion,380,"The ""homer"" officials that work Notre Dame football games are chosen from the visiting teams conference. For example, if Southern Cal is playing at Notre Dame, the officials are from the PAC 10 conference, if Michigan is playing at Notre Dame, the officials are from the Big 10 conference, etc. When Notre Dame is the visiting team, the officials are from the Big East conference because Notre Dame is an independent, but is currently affiliated with the Big East in other sports. Gee, I didn't know that Mark May from ESPN made phone calls to Sound Off.","Sound Off: Monday, October 22, 2012",The News - Item
674,"BONIFANTI, TERRY","Sep 28, 2012",News,321,"Greater Scranton-area graduates of Wyoming Seminary who have been named AP Scholars by the College Board in recognition of their exceptional achievement on the college-level Advanced Placement Examinations include Sean Banul, Pittston, who was named an AP Scholar with Distinction, and Brandon Bombe, Pittston; Brendan Larar, Waverly; Olivia Levine, Simpson; and Krysten Voelkner, Clarks Summit, who were named AP Scholars with Honor. Benjamin Puza of Tunkhannock was named an AP Scholar. ... Brian Bartnikiewicz of Scranton, a senior at King's College, is student teaching at Valley View Elementary School. ... Ross Williams of Springville was part of the Welcome Week planning committee at Susquehanna University.","Namedropper, 9/28/12",The Times - Tribune
675,,"Nov 3, 2012",News,734,"It appears the president has an edge in the honesty department, but it's distressing that more than 25 percent of his statements are misleading or not true. It makes you wonder how a completely honest candidate would fare in an election. We'll probably never know.",Site Helps Voters Navigate Muddy Waters,The Times - Tribune
676,"Haggerty, James","Jan 05, 2011",News,462,"""My concern is that the farmers market doesn't have to follow the same standards as selling to a big grocery store like Wegmans,"" Mr. [Charlie Miller] said. ""I appreciate food-safety regulations, but my concern is about how far they expect the small farmer to go and to what degree we are going to have to comply.""",Rising Regulations Might Mean Rising Food Prices,The Times - Tribune
677,"KRAWCZENIUK, BORYS","Jul 21, 2011",News,180,"Mr. [Barack Obama] first nominated Mr. [Robert D. Mariani] to be a U.S. district judge for the Middle District of Pennsylvania in December. The nomination expired with the new year, but the president renominated him in mid-January.",Senate Panel Backs Robert Mariani For Federal Judge,The Times - Tribune
678,,"Jul 30, 2012",Opinion,341,"So what's the point? The law targets only in-person voter fraud. If there is no evidence that such fraud has ever occurred, why was it so vital to rush this legislation into place? Republican House Majority Leader Mike Turzai let the cat out of the bag when he told a group of supporters, ""Voter ID, which is going to allow Governor Romney to win the state of Pennsylvania, done."" In defending Turzai's comment, his spokesman Steve Miskin said the legislation means that the ""graveyards of Philadelphia will no longer vote."" Strange then that Pennsylvania's crack legal team can't provide any evidence of this alleged graveyard voting.",Truth Comes Out About Voter ID Law,Republican & Herald
679,"KRAWCZENIUK, BORYS","Nov 26, 2011",News,211,"In March 2008, presidential candidate Hillary Rodham Clinton kicked off the six-week Pennsylvania Democratic primary campaign with a raucous rally attended by hundreds of cheering students. Clinton won the Pennsylvania primary, but [Barack Obama] won the presidency.",Obama Headed For Scranton High,The News - Item
680,"Krawczeniuk, Borys","Nov 30, 2011",News,1407,"""You may not be aware of it because times are tight, but you actually got a tax cut of $1,000 this year,"" he said. ""Now, I know you hear a lot of folks on cable TV claiming that I'm this big tax-and-spend liberal. Next time you hear that, you just remind the people who are saying it that since I've taken office, I've cut your taxes a?[broken bar] The average family's tax burden is among the lowest it's been in the last 60 years.""","Obama Visits Scranton, Urges Congress To Pass Tax Cut",Citizens' Voice
681,,"Oct 9, 2012",Opinion,106,President Obama had appointed GE Chairman Jeff Immelt to head the president's commission on job creation. Our president must have forgotten to tell Immelt in which country he was supposed to create jobs.,Jobs Czar Jeff Immelt Creating Work - In China,Standard - Speaker
682,"Light, Mia","Jun 15, 2012",News,735,"Home remodeling contractor Michael Mongiello of [Weatherly], who took a lunch break Friday afternoon at Sarge's Pit Stop on Carbon Street, said he's looking forward to Romney's visit.",Star-spangled Borough Ready For Republican Presidential Candidate,Standard - Speaker
683,Anonymous,"Apr 14, 2011",News,351,"""We cut billions of dollars in wasteful government spending - and that's something that hasn't been done before. I'm proud to be a part of that,"" Mr. [Lou Barletta] said. ""You have to remember that, just a few months ago, Washington Democrats proposed a spending freeze at record levels for five years, and we got them to agree to almost $40 billion in spending cuts. It's not a perfect deal, but politics is the art of negotiation. I think we negotiated the best deal we could under the circumstances, and that's why I voted for it.""","Spending Plan 'only A Start,' NEPA's Congressional Representatives Say",The Times - Tribune
684,,"May 12, 2012",Sports,961,"Penn State women's volleyball coach Russ Rose, always one to provide a witty but truth-filled one-liner, said part of the reason for O'Brien's allure with fans is that he is still undefeated. So true. That's not to say that his vision isn't a great one, that he doesn't have every ounce of smarts and passion and intensity needed to be one of the best coaches in the nation. It just means that if being a great role model, a tough father figure and a leader of young men was what really paid in college football, every coach would have tried to do what [Joe Paterno] did for all those years.","COLLINS COLUMN: Penn State's O'Brien Saying, Doing The Right Things",The Times - Tribune
685,,"Sep 18, 2012",Opinion,478,"Today I stopped at a store to buy some frozen fruit and, to my surprise, the peaches, blackberries and strawberries all said on the package, ""Product of China."" I was happy the mangos were not from China, but not for long. The bag said ""Product of Vietnam.""","Sound Off: Tuesday, September 18, 2012",The News - Item
686,,"Oct 14, 2012",News,1423,"""I know you're under a lot of duress to make up for lost ground, but I think people would be better served if we don't interrupt each other,"" Mr. [Paul Ryan] later scolded his rival, referring to Democratic pressure on Mr. Biden to make up for President Barack Obama's listless performance in last week's debate with Mitt Romney.","The Week In Review, Oct. 7-13, 2012",The Times - Tribune
687,"Light, Mia; Krawczeniuk, Borys","Oct 5, 2012",News,135,"Kerri Bornstein, a campaign worker at the Hazleton Obama for America office on Broad Street, confirmed Biden would visit Hazleton, Harrisburg, Scranton and Allentown on Monday.","Jill Biden Will Visit Hazleton, Scranton",Citizens' Voice
688,,"Sep 26, 2012",News,880,"remember, when you're gone, you're gone. You don't get to hear all the memories, you don't get to see all the friends and loved ones. When you're gone, you never get to see them again.",How Many Children Must Die?,Citizens' Voice
689,"KRAWCZENIUK, BORYS","Jan 4, 2012",News,735,"""It's not like they're starting from scratch,"" [Vince Galko] said. ""I'm not under any illusion. This is [Mitt Romney]'s backyard ... I'm never surprised by anything Rick Santorum can pull off because he's the hardest worker I know.""",Santorum's Friends In Pennsylvania Toast His Iowa Showing,Republican & Herald
690,,"Oct 26, 2012",Opinion,327,"- When Mr. [Romney] disparaged the 47 percent who he said he ""can't make take responsibility and care for their lives,"" he was referring to people like me, a senior citizen on Social Security. (My 29-year career as an international flight attendant and translator ended in a corporate takeover.) He was referring to veterans, to those currently serving, to the disabled, to working parents who do not earn a living wage. Romney is a multimillionaire, who utterly cannot relate to the likes of you and me.",Romney's Views Not What We Need,Republican & Herald
691,,"Sep 11, 2012",Opinion,459,"I have been a Democrat my whole life, but the way the party is going right now, it really scares me to think of four more years of President [Barrack Obama]. It is becoming a socialist party. Obama's disdain for religion and promoting class warfare; he borders on communism. We can't give everything away to everybody. We have to get people to work and not look for handouts.","Sound Off: Tuesday, September, 11 2012",The News - Item
692,"KRAWCZENIUK, BORYS","Apr 26, 2012",News,1097,"""My experience is at the executive level, running an office. I've been the elected DA the last seven years and started out this race talking about experience and qualifications, and I'm going to finish talking about it,"" he said. ""I got into this race because, of the people who were considering it, I was the most qualified to do the job. ... And that's the case we're going to try to make to the voters.""","Fresh Off Historic Win, Kane Targets Another",The Times - Tribune
